"|","|__Title","|__Year","|__Rated","|__Released","|__Runtime","|__Genre","|__Director","|__Writer","|__Actors","|__Plot","|__Language","|__Country","|__Awards","|__Poster","|__Ratings__Source","|__Ratings__Value","|__Metascore","|__imdbRating","|__imdbVotes","|__imdbID","|__Type","|__DVD","|__BoxOffice","|__Production","|__Website","|__Response","|__Error","|__totalSeasons"
"3","Character","1997","R","27 Mar 1998","122 min","Crime, Drama, Mystery","Mike van Diem","Ferdinand Bordewijk (short story ""Dreverhaven en Katadreuffe"" and novel ""Karakter""), Laurens Geels (screenplay), Mike van Diem (screenplay), Ruud van Megen (screenplay)","Jan Decleir, Fedja van Huêt, Betty Schuurman, Tamar van den Dop","Jacob Katadreuffe lives mute with his mother, has no contact with his father who only works against him and wants to become a lawyer, at all costs.","Dutch, English, German, French","Netherlands, Belgium","Won 1 Oscar. Another 16 wins & 6 nominations.","https://m.media-amazon.com/images/M/MV5BYjE3NGE3YWItMjBkNi00MjUwLWIyNWEtZmQyOTUyMWMyNzFkXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_SX300.jpg","Internet Movie Database","7.7/10","N/A","7.7","10,015","tt0119448","movie","N/A","N/A","Almerica Film","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","92%","","","","","","","","","","","",""
"5","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"6","Sick: The Life & Death of Bob Flanagan, Supermasochist","1997","Not Rated","07 Nov 1997","90 min","Documentary","Kirby Dick","N/A","Kathe Burkhart, Kirby Dick, Bob Flanagan, Sheree Rose","Documentary about writer and performance artist Bob Flanagan who died at 43 of cystic fibrosis. His life was indicated by pain from the beginning and he started to develop sadomasochistic ...","English","USA","3 wins & 8 nominations.","https://m.media-amazon.com/images/M/MV5BMTkwNDQ2MDU4NF5BMl5BanBnXkFtZTcwODc0MTgyMQ@@._V1_SX300.jpg","Internet Movie Database","7.6/10","82","7.6","1,459","tt0120126","movie","N/A","N/A","Sick-the Life and Death of Bob Flanagan-Supermasochist","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","91%","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Metacritic","82/100","","","","","","","","","","","",""
"7","8 Man","1992","N/A","N/A","83 min","Action, Sci-Fi","Yasuhiro Horiuchi","Kazumasa Hirai (comic-book), Jirô Kuwata (comic-book)","Kai Shishido, Etsushi Takahashi, Sachiko Ayase, Osamu Ohtomo","After Tokyo police officer Yokoda is killed in the line of duty, his chief decides give Yokoda's body to Dr. Tani for use in a secret scientific experiment: Yokoda's brain will be ...","Japanese","Japan","N/A","https://m.media-amazon.com/images/M/MV5BMTMxNzM4NjE5NF5BMl5BanBnXkFtZTcwMDE2NTIyMQ@@._V1_SX300.jpg","Internet Movie Database","5.0/10","N/A","5.0","62","tt0182668","movie","N/A","N/A","N/A","N/A","True","",""
"8","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"9","","","","","","","","","","","","","","","","","","","","","","","","","","False","Movie not found!",""
"12","My Favorite Brunette","1947","Approved","04 Apr 1947","87 min","Comedy, Crime, Mystery, Romance, Thriller","Elliott Nugent","Edmund Beloin (original screenplay), Jack Rose (original screenplay)","Bob Hope, Dorothy Lamour, Peter Lorre, Lon Chaney Jr.","Shortly before his execution on the death row in San Quentin, amateur sleuth and baby photographer Ronnie Jackson, tells reporters how he got there.","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BZWViOWUxY2EtOTVmMC00NWYwLTk2ZWQtYmM5YjE5YmQzZDBmL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","Internet Movie Database","6.8/10","N/A","6.8","2,957","tt0039645","movie","N/A","N/A","Paramount Pictures, Hope Enterprises","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","75%","","","","","","","","","","","",""
"15","Neil Diamond: Greatest Hits Live","1988","N/A","N/A","60 min","Documentary, Music","Dwight Hemion, Peter Israelson","Kenny Solms (writing supervisor), Ann Elder, Toem Perew, Gary Smith","Neil Diamond, Richard Bennett, Vince Charles, King Errisson","N/A","English","USA","N/A","https://m.media-amazon.com/images/M/MV5BMjExNTQ0NzE1MV5BMl5BanBnXkFtZTcwMzQyMDAzMQ@@._V1_SX300.jpg","Internet Movie Database","8.0/10","N/A","8.0","68","tt0168093","movie","N/A","N/A","N/A","N/A","True","",""
"17","7 Seconds","2005","R","16 Aug 2005","96 min","Action, Comedy, Crime, Thriller","Simon Fellows","Martin Wheeler","Wesley Snipes, Tamzin Outhwaite, Deobia Oparei, Georgina Rylance","When an experienced thief accidentally makes off with a Van Gogh, his partner is kidnapped by gangsters in pursuit of the painting, forcing the criminal to hatch a rescue plan.","English","UK, Romania, Switzerland, USA","N/A","https://m.media-amazon.com/images/M/MV5BMjQyNTc4MzQ0MV5BMl5BanBnXkFtZTgwMzMxNjAwNzE@._V1_SX300.jpg","Internet Movie Database","4.8/10","N/A","4.8","6,842","tt0417395","movie","N/A","N/A","7 Second Film Co","N/A","True","",""
"","","","","","","","","","","","","","","","Rotten Tomatoes","25%","","","","","","","","","","","",""
